1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;о;б;м;е;б;л;и;р;о;в;ы;в;а;н;и;е;1
1;б;1;1;1;1;1;1;1;1;1;1;1;1;1;1;д;1
1;в;1;1;1;1;1;1;1;1;1;1;1;1;1;1;и;1
1;о;1;1;1;1;1;1;1;1;1;1;1;1;1;1;н;1
1;р;1;1;1;1;1;1;1;1;1;1;1;1;1;1;о;1
1;о;1;1;1;1;1;1;1;1;1;1;1;1;1;1;в;1
1;ж;1;1;1;1;1;1;1;1;1;1;1;1;1;1;р;1
1;и;1;1;1;1;1;1;1;1;1;1;1;1;1;1;е;1
1;т;1;1;1;1;1;1;1;1;1;1;1;1;1;1;м;1
1;е;1;1;1;1;1;1;1;1;1;1;1;1;1;1;е;1
1;л;1;1;1;1;1;1;1;1;1;1;1;1;1;1;н;1
1;ь;1;1;1;1;1;1;1;1;1;1;1;1;1;1;н;1
1;н;1;1;1;1;1;1;1;1;1;1;1;1;1;1;о;1
1;и;1;1;1;1;1;1;1;1;1;1;1;1;1;1;с;1
1;ц;1;1;1;1;1;1;1;1;1;1;1;1;1;1;т;1
1;а;л;ь;т;е;р;н;а;т;и;в;н;о;с;т;ь;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
